"Peak#","Ret_Time","Area","Conc_ug/mL extract","Dilution","CorrConc_ug /mL biodiesel","%FAME","Lab_Tag","Treatment_ID","Type"
"C4:0",2.316,7292725,50.9924902330642,100,5099.24902330642,0.00459754643716926,"Fat1_B1","Low fat","SAE"
"C6:0",3.672,16156705,113.613773322312,100,11361.3773322312,0.0102435593234209,"Fat1_B1","Low fat","SAE"
"C8:0",5.104,11409192,80.0740591597256,100,8007.40591597256,0.00721957691646069,"Fat1_B1","Low fat","SAE"
"C10:0",6.449,27633010,194.690326318095,100,19469.0326318095,0.0175535223328765,"Fat1_B1","Low fat","SAE"
"Unknown 1",6.797,3301766,22.7975965919929,100,2279.75965919929,0.00205545970609564,"Fat1_B1","Low fat","SAE"
"C12:0",8.077,37098289,261.559601268819,100,26155.9601268819,0.0235825394567832,"Fat1_B1","Low fat","SAE"
"C14:0",10.341,122635803,865.855739002042,100,86585.5739002042,0.0780666319639786,"Fat1_B1","Low fat","SAE"
"C14:1 (Z9)",10.754,11199914,78.5955746773202,100,7859.55746773202,0.00708627491388296,"Fat1_B1","Low fat","SAE"
"C15:0",11.638,14540468,97.5552155374666,100,9755.52155374666,0.00879569975052398,"Fat1_B1","Low fat","SAE"
"C16:0",13.215,417396833,2837.12424260971,100,283712.424260971,0.255798655719681,"Fat1_B1","Low fat","SAE"
"C16:1 (Z9)",13.47,22704896,145.774468692443,100,14577.4468692443,0.0131432076783066,"Fat1_B1","Low fat","SAE"
"Unknown 2",13.58,18207937,115.211394822512,100,11521.1394822512,0.0103876028679236,"Fat1_B1","Low fat","SAE"
"C17:0",14.592,7182785,46.8021760240988,100,4680.21760240988,0.00421974248850945,"Fat1_B1","Low fat","SAE"
"C18:0",16.26,139134812,918.48035038348,100,91848.035038348,0.0828113324769037,"Fat1_B1","Low fat","SAE"
"C18:1 (Z9)",16.515,278726761,1885.79815410128,100,188579.815410128,0.170025910579808,"Fat1_B1","Low fat","SAE"
"Unknown 3",16.728,40473413,266.536187362798,100,26653.6187362798,0.0240312346579995,"Fat1_B1","Low fat","SAE"
"C18:2 (Z9,12)",17.107,36394780,240.244325233196,100,24024.4325233196,0.0216607276184723,"Fat1_B1","Low fat","SAE"
"C18:3 (Z6,9,12)",18.027,5960192,39.5976674034411,100,3959.76674034411,0.00357017501712162,"Fat1_B1","Low fat","SAE"
"C20:1 (Z11)",19.854,69383960,463.023454331677,100,46302.3454331677,0.0417467713982732,"Fat1_B1","Low fat","SAE"
"C22:0",22.913,215133086,1372.25776623443,100,137225.776623443,0.123724469528615,"Fat1_B1","Low fat","SAE"
"C22:2 ???",25.742,42159994,278.711397573962,100,27871.1397573962,0.0251289667764405,"Fat1_B1","Low fat","SAE"
"C24:0",26.094,94543749,622.649001282272,100,62264.9001282272,0.056138809545648,"Fat1_B1","Low fat","SAE"
"Unknown 4",26.775,14455647,93.2948828109509,100,9329.48828109509,0.00841158284510469,"Fat1_B1","Low fat","SAE"
"C4:0",2.317,3835821,26.5705303463818,100,2657.05303463818,0.00480671269621148,"Fat1_B2","High fat","SAE"
"C6:0",3.672,8315687,58.2194010554649,100,5821.94010554649,0.0105321169946929,"Fat1_B2","High fat","SAE"
"C8:0",5.105,7599149,53.1572812241697,100,5315.72812241697,0.00961635974989465,"Fat1_B2","High fat","SAE"
"C10:0",6.448,15586152,109.582992461974,100,10958.2992461974,0.0198239912523065,"Fat1_B2","High fat","SAE"
"Unknown 1",6.799,1818282,12.3172399663721,100,1231.72399663721,0.00222823680810369,"Fat1_B2","High fat","SAE"
"C12:0",8.079,36441405,256.918918537044,100,25691.8918537044,0.0464776356184812,"Fat1_B2","High fat","SAE"
"C14:0",10.326,66004642,465.77406410501,100,46577.406410501,0.0842603470203009,"Fat1_B2","High fat","SAE"
"C14:1 (Z9)",10.753,5430661,0,100,0,0,"Fat1_B2","High fat","SAE"
"C15:0",11.635,6995307,46.2453910548041,100,4624.53910548041,0.00836597182768169,"Fat1_B2","High fat","SAE"
"C16:0",13.168,212420597,1443.21168166146,100,144321.168166146,0.261082628879763,"Fat1_B2","High fat","SAE"
"C16:1 (Z9)",13.45,11104390,66.9329400490699,100,6693.29400490699,0.0121084302245565,"Fat1_B2","High fat","SAE"
"Unknown 2",13.579,6476483,35.4798928889402,100,3547.98928889402,0.00641845117076165,"Fat1_B2","High fat","SAE"
"C17:0",14.59,3420215,21.9465506648963,100,2194.65506648963,0.0039702167154285,"Fat1_B2","High fat","SAE"
"C18:0",16.209,67153762,442.971851734411,100,44297.1851734411,0.0801353377609961,"Fat1_B2","High fat","SAE"
"C18:1 (Z9)",16.479,156584285,1055.67061310207,100,105567.061310207,0.190974936249478,"Fat1_B2","High fat","SAE"
"Unknown 3",16.724,22462420,144.126507948375,100,14412.6507948375,0.0260730480944432,"Fat1_B2","High fat","SAE"
"C18:2 (Z9,12)",17.106,46781960,309.550409010235,100,30955.0409010235,0.0559988777683381,"Fat1_B2","High fat","SAE"
"C18:3 (Z6,9,12)",18.028,7027799,46.7701801178391,100,4677.01801178391,0.00846090821845895,"Fat1_B2","High fat","SAE"
"C20:1 (Z11)",19.848,24458509,157.692701359957,100,15769.2701359957,0.0285272254578843,"Fat1_B2","High fat","SAE"
"C22:0",22.877,68110493,434.039258729835,100,43403.9258729835,0.078519396805153,"Fat1_B2","High fat","SAE"
"C22:2 ???",25.727,15877544,103.347758784045,100,10334.7758784045,0.0186960131317032,"Fat1_B2","High fat","SAE"
"C24:0",26.082,29598475,193.383637156794,100,19338.3637156794,0.0349838551147961,"Fat1_B2","High fat","SAE"
"Unknown 4",26.776,6980508,43.8868494454506,100,4388.68494454506,0.00793930244056626,"Fat1_B2","High fat","SAE"
"C4:0",2.317,2789045,19.1753809634826,100,1917.53809634826,0.00443252570875599,"Fat2_B1","Low fat","SAE"
"C6:0",3.672,7042293,49.2232654416492,100,4922.32654416492,0.0113783079436355,"Fat2_B1","Low fat","SAE"
"C8:0",5.104,5004029,34.8235593328105,100,3482.35593328105,0.00804971344804188,"Fat2_B1","Low fat","SAE"
"C10:0",6.446,12085077,84.848978092392,100,8484.8978092392,0.0196134448370248,"Fat2_B1","Low fat","SAE"
"Unknown 1",NA,NA,0,100,0,0,"Fat2_B1","Low fat","SAE"
"C12:0",8.071,15636444,109.938289920805,100,10993.8289920805,0.0254130177324067,"Fat2_B1","Low fat","SAE"
"C14:0",10.319,51106322,360.522031240065,100,36052.2031240065,0.0833372320001244,"Fat2_B1","Low fat","SAE"
"C14:1 (Z9)",10.751,4650790,0,100,0,0,"Fat2_B1","Low fat","SAE"
"C15:0",11.632,6064508,39.9156211110431,100,3991.56211110431,0.00922677974912727,"Fat2_B1","Low fat","SAE"
"C16:0",13.154,172595758,1172.38836866121,100,117238.836866121,0.271005910893439,"Fat2_B1","Low fat","SAE"
"C16:1 (Z9)",13.445,9678136,57.2395658467958,100,5723.95658467958,0.0132313328041371,"Fat2_B1","Low fat","SAE"
"Unknown 2",13.576,7299397,41.072734934109,100,4107.2734934109,0.00949425484015488,"Fat2_B1","Low fat","SAE"
"C17:0",NA,NA,0,100,0,0,"Fat2_B1","Low fat","SAE"
"C18:0",16.193,57122274,376.703607549363,100,37670.3607549364,0.0870777184674209,"Fat2_B1","Low fat","SAE"
"C18:1 (Z9)",16.461,117168044,787.78258357857,100,78778.258357857,0.182101547879132,"Fat2_B1","Low fat","SAE"
"Unknown 3",16.721,11510724,69.6945431808451,100,6969.45431808451,0.0161103894101196,"Fat2_B1","Low fat","SAE"
"C18:2 (Z9,12)",17.086,17416254,113.614449470889,100,11361.4449470889,0.0262627881618061,"Fat2_B1","Low fat","SAE"
"C18:3 (Z6,9,12)",NA,NA,NA,100,0,0,"Fat2_B1","Low fat","SAE"
"C20:1 (Z11)",19.847,27137219,175.898251289614,100,17589.8251289614,0.0406601319917054,"Fat2_B1","Low fat","SAE"
"C22:0",22.878,78404538,499.730274913212,100,49973.0274913212,0.11551620774653,"Fat2_B1","Low fat","SAE"
"C22:2 ???",25.728,16504027,107.527823371632,100,10752.7823371632,0.0248558212433433,"Fat2_B1","Low fat","SAE"
"C24:0",26.081,29623057,193.546115510199,100,19354.6115510199,0.0447395613397504,"Fat2_B1","Low fat","SAE"
"Unknown 4",26.776,5245119,32.4165399817574,100,3241.65399817574,0.00749331380334462,"Fat2_B1","Low fat","SAE"
"C4:0",2.317,4112978,28.5285590148994,100,2852.85590148994,0.00562942886187557,"Fat2_B2","High fat","SAE"
"C6:0",3.672,8304072,58.1373446650983,100,5813.73446650983,0.0114720146166368,"Fat2_B2","High fat","SAE"
"C8:0",5.105,7248300,50.678641318554,100,5067.8641318554,0.0100002178858845,"Fat2_B2","High fat","SAE"
